Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
80,Marshall Hawkins,F,25,INO,39,,,1.4,5.0,.282,,,,1.4,5.0,.282,.282,1.1,1.6,.689,,,,1.3,,,,2.2,3.9,1950
81,Bill Henry,C,25,TOT,63,,,1.4,4.4,.320,,,,1.4,4.4,.320,.320,1.9,2.8,.670,,,,0.8,,,,1.9,4.7,1950
81,Bill Henry,C,25,FTW,44,,,1.5,4.8,.311,,,,1.5,4.8,.311,.311,1.9,2.8,.672,,,,0.9,,,,2.3,4.9,1950
81,Bill Henry,C,25,TRI,19,,,1.3,3.6,.348,,,,1.3,3.6,.348,.348,1.8,2.7,.667,,,,0.5,,,,1.2,4.3,1950
82,Bill Herman,G,25,DNN,13,,,1.9,5.0,.385,,,,1.9,5.0,.385,.385,0.5,0.8,.545,,,,1.2,,,,1.0,4.3,1950
83,Kleggie Hermsen,C-F,26,CHS,67,,,2.9,9.2,.319,,,,2.9,9.2,.319,.319,2.3,3.7,.619,,,,1.5,,,,4.0,8.1,1950
84,Sonny Hertzberg,G,27,BOS,68,,,4.0,12.7,.318,,,,4.0,12.7,.318,.318,2.1,2.8,.749,,,,2.9,,,,2.3,10.2,1950
85,Paul Hoffman,G-F,24,BLB,60,,,5.2,15.2,.341,,,,5.2,15.2,.341,.341,4.0,6.1,.665,,,,2.7,,,,3.9,14.4,1950
86,Joe Holland,SF,24,INO,64,,,2.3,7.1,.320,,,,2.3,7.1,.320,.320,1.5,2.2,.690,,,,2.0,,,,3.4,6.1,1950
87,Red Holzman*,PG,29,ROC,68,,,3.0,9.2,.330,,,,3.0,9.2,.330,.330,2.1,3.1,.686,,,,2.9,,,,1.0,8.2,1950
88,Gene James,F,24,NYK,29,,,0.7,2.2,.297,,,,0.7,2.2,.297,.297,0.5,1.1,.452,,,,0.7,,,,1.8,1.8,1950
89,Howie Janotta,F,25,BLB,9,,,1.0,3.3,.300,,,,1.0,3.3,.300,.300,1.4,1.8,.813,,,,0.4,,,,1.1,3.4,1950
90,Tony Jaros,F-G,29,MNL,61,,,1.4,4.7,.291,,,,1.4,4.7,.291,.291,1.2,1.6,.750,,,,1.0,,,,1.7,3.9,1950
91,Buddy Jeannette*,G,32,BLB,37,,,1.1,4.0,.284,,,,1.1,4.0,.284,.284,2.9,3.6,.820,,,,2.5,,,,2.2,5.2,1950
92,Arnie Johnson,SF,29,ROC,68,,,2.2,5.5,.396,,,,2.2,5.5,.396,.396,2.9,4.3,.680,,,,2.1,,,,3.8,7.3,1950
93,Ralph Johnson,PG,28,TOT,67,,,3.6,11.6,.312,,,,3.6,11.6,.312,.312,1.6,1.9,.806,,,,2.6,,,,3.1,8.8,1950
93,Ralph Johnson,PG,28,AND,35,,,3.8,12.2,.312,,,,3.8,12.2,.312,.312,2.0,2.4,.855,,,,3.0,,,,3.2,9.6,1950
93,Ralph Johnson,PG,28,FTW,32,,,3.4,11.0,.312,,,,3.4,11.0,.312,.312,1.0,1.4,.717,,,,2.1,,,,3.0,7.9,1950
94,Wah Wah Jones,PF,23,INO,60,,,4.4,11.8,.374,,,,4.4,11.8,.374,.374,3.7,5.0,.751,,,,3.2,,,,4.0,12.5,1950
95,Noble Jorgensen,C,24,SHE,54,,,4.0,11.4,.353,,,,4.0,11.4,.353,.353,5.0,6.5,.766,,,,1.7,,,,3.7,13.0,1950
96,George Kaftan,SF,21,BOS,55,,,3.6,9.7,.372,,,,3.6,9.7,.372,.372,2.5,3.8,.654,,,,2.6,,,,1.7,9.7,1950
97,Leo Katkaveck,G,26,WSC,54,,,1.9,6.1,.306,,,,1.9,6.1,.306,.306,0.6,1.0,.607,,,,1.3,,,,1.9,4.4,1950
98,Jack Kerris,PF,25,TOT,68,,,2.3,7.1,.326,,,,2.3,7.1,.326,.326,2.5,3.8,.650,,,,1.7,,,,2.6,7.1,1950
98,Jack Kerris,PF,25,TRI,4,,,2.0,6.5,.308,,,,2.0,6.5,.308,.308,2.5,3.0,.833,,,,2.0,,,,3.3,6.5,1950
98,Jack Kerris,PF,25,FTW,64,,,2.3,7.1,.327,,,,2.3,7.1,.327,.327,2.5,3.9,.641,,,,1.7,,,,2.5,7.1,1950
99,Bob Kinney,C-F,29,BOS,60,,,3.9,10.4,.375,,,,3.9,10.4,.375,.375,3.4,5.3,.628,,,,1.7,,,,4.2,11.1,1950
100,Walt Kirk,PG,25,TOT,58,,,1.7,6.2,.269,,,,1.7,6.2,.269,.269,2.7,3.7,.718,,,,1.8,,,,2.7,6.0,1950
100,Walt Kirk,PG,25,AND,26,,,1.2,4.8,.248,,,,1.2,4.8,.248,.248,2.2,3.2,.687,,,,1.7,,,,2.4,4.6,1950
100,Walt Kirk,PG,25,TRI,32,,,2.1,7.4,.280,,,,2.1,7.4,.280,.280,3.1,4.2,.737,,,,1.9,,,,2.9,7.2,1950
101,Leo Klier,F-G,26,FTW,66,,,2.4,7.8,.304,,,,2.4,7.8,.304,.304,2.1,2.9,.742,,,,1.8,,,,2.7,6.9,1950
102,Duane Klueh,G,24,TOT,52,,,3.1,8.0,.384,,,,3.1,8.0,.384,.384,3.0,4.3,.707,,,,1.8,,,,2.1,9.1,1950
102,Duane Klueh,G,24,DNN,33,,,3.3,9.2,.364,,,,3.3,9.2,.364,.364,3.4,4.6,.725,,,,1.9,,,,2.2,10.0,1950
102,Duane Klueh,G,24,FTW,19,,,2.6,5.9,.438,,,,2.6,5.9,.438,.438,2.4,3.6,.667,,,,1.5,,,,2.0,7.6,1950
103,Lee Knorek,C,28,BLB,1,,,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,,,,0.0,,,,4.0,0.0,1950
104,Milo Komenich,F-C,29,AND,64,,,3.8,13.5,.283,,,,3.8,13.5,.283,.283,2.3,3.9,.584,,,,1.9,,,,3.8,9.9,1950
105,Leo Kubiak,G,22,WAT,62,,,4.2,12.8,.326,,,,4.2,12.8,.326,.326,3.1,3.8,.814,,,,3.2,,,,4.0,11.5,1950
106,Frank Kudelka,G-F,24,CHS,65,,,2.6,8.1,.326,,,,2.6,8.1,.326,.326,1.4,2.2,.636,,,,2.0,,,,3.0,6.7,1950
107,Walt Lautenbach,G-F,27,SHE,55,,,1.8,6.0,.301,,,,1.8,6.0,.301,.301,0.7,1.0,.691,,,,1.3,,,,2.2,4.3,1950
108,Tony Lavelli,F,23,BOS,56,,,2.9,7.8,.372,,,,2.9,7.8,.372,.372,3.0,3.5,.853,,,,0.7,,,,1.9,8.8,1950
109,Ed Leede,F-G,22,BOS,64,,,2.7,7.9,.343,,,,2.7,7.9,.343,.343,3.5,4.9,.706,,,,2.0,,,,2.6,8.9,1950
110,Andrew Levane,F-G,29,SYR,60,,,2.3,7.0,.333,,,,2.3,7.0,.333,.333,0.9,1.4,.635,,,,2.6,,,,1.8,5.5,1950
111,Freddie Lewis,F-G,29,TOT,34,,,1.4,5.4,.250,,,,1.4,5.4,.250,.250,0.7,0.9,.781,,,,0.7,,,,1.2,3.4,1950
111,Freddie Lewis,F-G,29,BLB,18,,,1.4,6.1,.227,,,,1.4,6.1,.227,.227,0.7,1.1,.684,,,,1.0,,,,1.3,3.5,1950
111,Freddie Lewis,F-G,29,PHW,16,,,1.3,4.6,.284,,,,1.3,4.6,.284,.284,0.8,0.8,.923,,,,0.4,,,,1.1,3.4,1950
112,Ron Livingstone,C,24,TOT,54,,,3.0,10.7,.282,,,,3.0,10.7,.282,.282,2.3,3.3,.689,,,,2.6,,,,4.8,8.3,1950
112,Ron Livingstone,C,24,BLB,16,,,1.6,6.4,.245,,,,1.6,6.4,.245,.245,2.2,2.9,.761,,,,1.5,,,,3.4,5.3,1950
112,Ron Livingstone,C,24,PHW,38,,,3.6,12.6,.289,,,,3.6,12.6,.289,.289,2.3,3.4,.664,,,,3.1,,,,5.4,9.6,1950
113,John Logan,G,29,STB,62,,,4.0,12.2,.331,,,,4.0,12.2,.331,.331,4.1,5.2,.783,,,,3.9,,,,3.3,12.2,1950
114,Ray Lumpp,G,26,NYK,58,,,1.6,4.9,.322,,,,1.6,4.9,.322,.322,1.5,1.9,.796,,,,1.6,,,,2.0,4.6,1950
115,Ed Macauley*,C-F,21,STB,67,,,5.2,13.2,.398,,,,5.2,13.2,.398,.398,5.7,7.9,.718,,,,3.0,,,,3.3,16.1,1950
116,Johnny Macknowski,G-F,27,SYR,59,,,2.6,7.8,.333,,,,2.6,7.8,.333,.333,2.2,3.0,.736,,,,1.1,,,,2.2,7.4,1950
117,John Mahnken,C,27,TOT,62,,,2.1,8.0,.267,,,,2.1,8.0,.267,.267,1.2,1.9,.670,,,,1.7,,,,3.7,5.5,1950
117,John Mahnken,C,27,FTW,2,,,1.5,4.0,.375,,,,1.5,4.0,.375,.375,0.5,1.5,.333,,,,1.0,,,,4.0,3.5,1950
117,John Mahnken,C,27,TRI,36,,,2.4,8.9,.266,,,,2.4,8.9,.266,.266,1.5,2.1,.697,,,,1.8,,,,4.1,6.2,1950
117,John Mahnken,C,27,BOS,24,,,1.8,7.0,.262,,,,1.8,7.0,.262,.262,1.0,1.5,.639,,,,1.8,,,,3.1,4.6,1950
118,John Mandic,F-C,30,TOT,25,,,0.9,3.0,.293,,,,0.9,3.0,.293,.293,0.9,1.3,.688,,,,0.3,,,,2.2,2.6,1950
118,John Mandic,F-C,30,WSC,22,,,1.0,3.0,.323,,,,1.0,3.0,.323,.323,0.9,1.4,.667,,,,0.3,,,,2.1,2.8,1950
118,John Mandic,F-C,30,BLB,3,,,0.3,3.3,.100,,,,0.3,3.3,.100,.100,0.7,0.7,1.000,,,,0.3,,,,2.3,1.3,1950
119,Slater Martin*,PG,24,MNL,67,,,1.6,4.5,.351,,,,1.6,4.5,.351,.351,0.9,1.4,.634,,,,2.2,,,,2.4,4.0,1950
120,Ariel Maughan,F,26,STB,68,,,2.4,8.4,.279,,,,2.4,8.4,.279,.279,2.3,3.0,.766,,,,1.5,,,,2.6,7.0,1950
121,Matt Mazza,F,26,SHE,26,,,1.3,4.2,.300,,,,1.3,4.2,.300,.300,1.2,1.7,.711,,,,1.1,,,,1.3,3.8,1950
122,Mike McCarron,G,27,TOT,8,,,0.4,1.9,.200,,,,0.4,1.9,.200,.200,0.4,0.6,.600,,,,0.4,,,,0.6,1.1,1950
122,Mike McCarron,G,27,BLB,3,,,0.3,1.7,.200,,,,0.3,1.7,.200,.200,0.7,1.0,.667,,,,0.3,,,,1.7,1.3,1950
122,Mike McCarron,G,27,STB,5,,,0.4,2.0,.200,,,,0.4,2.0,.200,.200,0.2,0.4,.500,,,,0.4,,,,0.0,1.0,1950
123,Dick McGuire*,PG,24,NYK,68,,,2.8,8.3,.337,,,,2.8,8.3,.337,.337,3.0,4.6,.652,,,,5.7,,,,2.4,8.6,1950
